query,matched_name,matched_status,query_match_taxon_agree,dist,use_query_as_synonym,use_query_as_accepted,use_query_as_new,taxonomicStatus,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Elaphoglossum tectum (Humb. & Bonpl. ex Willd.) T.Moore,Elaphoglossum tectum (Humb. & Bonpl. ex Willd.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum tovii E.Brown,Elaphoglossum tovii E. D. Br.,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum vestitum (Schltdl. & Cham.) T.Moore,Elaphoglossum vestitum (Schltdl. & Cham.) Schott,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Elaphoglossum vieillardii (Mett.) T.Moore,Elaphoglossum vieillardii (Mett.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Equisetum arvense subsp. alpestre (Wahlenb.) Schonswetter & Elven,Equisetum arvense subsp. alpestre (Wahlenb.) Schönsw. & Elven,synonym,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Equisetum trachyodon (A.Braun) W.D.J.Koch,Equisetum trachyodon (A. Braun) Koch,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Gaga angustifolia (Kunth) F.W.Li & Windham,Gaga angustifolia (Kunth) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga apiacea (Mickel) F.W.Li & Windham,Gaga apiacea (Mickel) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga arizonica (Maxon) F.W.Li & Windham,Gaga arizonica (Maxon) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga chaerophylla (M.Martens & Galeotti) F.W.Li & Windham,Gaga chaerophylla (M. Martens & Galeotti) Fay W. Li & Windham,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Gaga complanata (A.R.Sm.) F.W.Li & Windham,Gaga complanata (A. R. Sm.) Fay W. Li & Windham,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Gaga cuneata (Kaulf. ex Link) F.W.Li & Windham,Gaga cuneata (Kaulf. ex Link) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga decurrens (Mickel) F.W.Li & Windham,Gaga decurrens (Mickel) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga germanotta F.W.Li & Windham,Gaga germanotta Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga harrisii (Maxon) F.W.Li & Windham,Gaga harrisii (Maxon) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga hintoniorum (M.G.Mendenh. & G.L.Nesom) F.W.Li & Windham,Gaga hintoniorum (Mendenh. & G. L. Nesom) Fay W. Li & Windham,accepted,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Gaga hirsuta (Link) F.W.Li & Windham,Gaga hirsuta (Link) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga lerstenii (Mickel & Beitel) F.W.Li & Windham,Gaga lerstenii (Mickel & Beitel) Fay W. Li & Windham,synonym,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga marginata (Kunth) F.W.Li & Windham,Gaga marginata (Kunth) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga membranacea (Davenp.) F.W.Li & Windham,Gaga membranacea (Davenp.) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga monstraparva F.W.Li & Windham,Gaga monstraparva Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga pellaeopsis (Mickel) F.W.Li & Windham,Gaga pellaeopsis (Mickel) Fay W. Li & Windham,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Gaga purpusii (T.Reeves) F.W.Li & Windham,Gaga purpusii (T. Reeves) Fay W. Li & Windham,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Gleichenia laevissima H.Christ,Gleichenia laevissima Christ,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Goniophlebium amoenum (Wall. ex Mett.) Bedd.,Goniophlebium amoenum (Wall. ex Mett.) J. Sm. ex Bedd.,synonym,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Goniopteris sclerophylla (Poepp. ex Spreng.) Wherry,Goniopteris sclerophylla (Poepp. ex Spreng.) Pic. Serm.,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Goniopteris vivipara (Raddi) C.F.Reed,Goniopteris vivipara (Raddi) Brade,synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Gymnosphaera phlebodes (Lehnert & Coritico) S.Y.Ng,Gymnosphaera phlebodes (Lehnert & Coritico) S. Y. Dong,synonym,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Hemionitis arifolia (Burm.f.) T.Moore,Hemionitis arifolia (Burm. fil.) Moore,synonym,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Hiya brooksiae (Alderw.) Hui Shang,Hiya brooksiae (Alderw.) H. Shang,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Hiya nigrescens (Hook.) Hui Shang,Hiya nigrescens (Hook.) H. Shang,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
"Hymenasplenium quangnamense Li Bing Zhang, K.W.Xu & Liang Zhan","Hymenasplenium quangnamense Li Bing Zhang, K. W. Xu & Liang Zhang",accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Hymenophyllum armstrongii (Baker) Kirk,Hymenophyllum armstrongii (Baker) Kuhn,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Hymenophyllum corrugatum H.Christ,Hymenophyllum corrugatum Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Hymenophyllum devolii Lai,Hymenophyllum devolii M. J. Lai,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Hymenophyllum fragile (Hedw.) C.V.Morton,Hymenophyllum fragile (Hedw.) Morton,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Hymenophyllum javanicum A.Spreng.,Hymenophyllum javanicum Spreng.,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Hymenophyllum lyallii Hook.f.,Hymenophyllum lyallii Hook. fil.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Hymenophyllum nitidulum (Bosch) Ebihara et K.Iwats.,Hymenophyllum nitidulum (Bosch) Ebihara & K. Iwats.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Hymenophyllum revolutum Col.,Hymenophyllum revolutum Colenso,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Hypolepis muelleri N.A.Wakef.,Hypolepis muelleri Wakef.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
"Hypolepis stolonifera var. delasotae Arana, E.Yañez & Schwartsb.","Hypolepis stolonifera var. delasotae Arana, Yañez & Schwartsb.",accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Hypolepis viscosa H.Karst.,Hypolepis viscosa (H. Karst.) Mett.,accepted,TRUE,9,1,0,0,NA,NA,NCBI,author variant,NA
Lastreopsis pacifica Tindale,Lastreopsis pacifica Tind.,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Lecanopteris spinosa Jermy & T.G.Walker,Lecanopteris spinosa Jermy & T. Walker,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Lepisorus bampsii (Pic.Serm.) M.J.Zink,Lepisorus bampsii (Pic. Serm.) Zink,synonym,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Lepisorus elegans Ching ex W.M.Chu,Lepisorus elegans Ching & W. M. Chu,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Lepisorus medogensis Ching & Y.X.Ling,Lepisorus medogensis Ching & Y. X. Lin,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Lepisorus mikawanus Sa.Kurata,Lepisorus mikawanus Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Lepisorus subsessilis Ching ex Y.X.Lin,Lepisorus subsessilis Ching & Y. X. Lin,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Leptochilus shintenensis (Hayata) X.C.Zhang & Noot.,Leptochilus ×  shintenensis (Hayata) X. C. Zhang & Noot.,synonym,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Leptopteris wilkesiana (Brack.) H.Christ,Leptopteris wilkesiana (Brack.) Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Leucostegia immersa Wall. ex C.Presl,Leucostegia immersa (Wall. ex Hook.) C. Presl,synonym,TRUE,9,1,0,0,NA,NA,NCBI,author variant,NA
Lindsaea azurea H.Christ,Lindsaea azurea Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Lindsaea bouillodii H.Christ,Lindsaea bouillodii Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Lindsaea cambodgensis H.Christ,Lindsaea cambodgensis Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Lindsaea harveyi Carr. ex Seem.,Lindsaea harveyi Carruth.,accepted,TRUE,9,1,0,0,NA,NA,NCBI,author variant,NA
Lindsaea kawabatae Sa.Kurata,Lindsaea kawabatae Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Lindsaea pellaeiformis H.Christ,Lindsaea pellaeiformis Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Lindsaea schizophylla H.Christ,Lindsaea schizophylla (Baker) Christ,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Loxogramme duclouxii H.Christ,Loxogramme duclouxii Christ,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Lygodium micans J.W.Sturm,Lygodium micans Sturm,synonym,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Marsilea botryocarpa F.Ballard,Marsilea botryocarpa Ballard,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Marsilea tenuifolia Engelm. ex Kunze,Marsilea tenuifolia Engelm. apud Kunze,synonym,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Matteuccia struthiopteris var. pensylvanica (Willd.) C.V.Morton,Matteuccia struthiopteris var. pensylvanica (Willd.) Morton,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Meniscium longifolium Desv.,Meniscium longifolium Fée,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Metaxya contamanensis Tuomisto & G.G.Cardenas,Metaxya contamanensis Tuomisto & Cárdenas,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Metaxya elongata Tuomisto & G.G.Cardenas,Metaxya elongata Tuomisto & Cárdenas,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Metaxya scalaris Tuomisto & G.G.Cardenas,Metaxya scalaris Tuomisto & Cárdenas,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Microlepia izu-peninsulae Sa.Kurata,Microlepia izu-peninsulae Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Microlepia speluncae (L.) T.Moore,Microlepia speluncae (L.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Microsorum glossophyllum (Copel.) Copel.. 1947,Microsorum glossophyllum (Copel.) Copel.,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Monachosorum arakii Tagawa,Monachosorum ×  arakii Tagawa,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Monachosorum flagellare (Makino) Hayata,Monachosorum ×  flagellare (Makino) Hayata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Mycopteris subtilis (Kunze ex Klotzsch) Sundu,Mycopteris subtilis (Kunze ex Klotzsch) Sundue,accepted,TRUE,1,1,0,0,NA,NA,NCBI,author variant,NA
Myriopteris covillei (Maxon) A.Love & D.Love,Myriopteris covillei (Maxon) Á. & D. Löve,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Neocheiropteris palmatopedata (Baker) H.Christ,Neocheiropteris palmatopedata (Baker) Christ,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Nephrolepis acutifolia (Desv.) H.Christ,Nephrolepis acutifolia (Desv.) Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Notholaena affinis (Mett.) Moore,Notholaena affinis (Mett.) T. Moore,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Notholaena trichomanoides (L.) Desv.,Notholaena trichomanoides (L.) R. Br.,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Odontosoria africana F.Ballard,Odontosoria africana Ballard,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Oleandra distenta Kunz,Oleandra distenta Kunze,accepted,TRUE,1,1,0,0,NA,NA,NCBI,author variant,NA
"Ophioglossum aletum Patel, Reddy & Goswami","Ophioglossum aletum M. Patel, M. N. Reddy & H. K. Goswami",synonym,TRUE,15,1,0,0,NA,NA,NCBI,author variant,NA
Ophioglossum nudicaule L.f.,Ophioglossum nudicaule Thunb.,ambiguous synonym,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Ophioglossum pycnostichum (Fernald) A.Love & D.Love,Ophioglossum pycnostichum (Fernald) Á. & D. Löve,synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Osmunda mildei C.Chr.,Osmunda ×  mildei C. Chr.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Pecluma chnoophora (Kunze) Salino & Costa Assis,Pecluma chnoophora (Kunze) Salino & F. C. Assis,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Pellaea glabella subsp. simplex (Butters) A.Love & D.Love,Pellaea glabella subsp. simplex (Butters) Á. & D. Löve,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
"Pentagramma pallida (Weath.) Yatsk., Windham & E.Wollenw.","Pentagramma pallida (Weath.) Yatsk., Windham & Wollenw.",accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
"Pentagramma triangularis (Kaulf.) Yatsk., Windham & E.Wollenw.","Pentagramma triangularis (Kaulf.) Yatsk., Windham & Wollenw.",accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Phegopteris keraudreniana (Gaudich.) H.Mann,Phegopteris keraudreniana (Gaudich.) Mann,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Pilularia minuta Durieu,Pilularia minuta Durand,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Plagiogyria adnata var. yakushimensis (K.Sato) K.Iwats.,Plagiogyria adnata var. yakushimensis (K. Satô) Tagawa,synonym,TRUE,9,1,0,0,NA,NA,NCBI,author variant,NA
Platycerium willinckii T.Moore,Platycerium willinckii Moore,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Pleocnemia cumingiana C.Pres,Pleocnemia cumingiana C. Presl,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Pleopeltis polypodioides var. michauxiana (Weath.) E.B.Andrews & Windham,Pleopeltis polypodioides var. michauxiana (Weath.) E. G. Andrews & Windham,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Polypodium macaronesicum A.E.Bobrov,Polypodium macaronesicum Bobrov,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
"Polypodium polycarpon Cav., non Sw.",Polypodium polycarpon Cav. ex Sw.,ambiguous synonym,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Polystichopsis chaerophylloides (Poir.) C.V.Morton,Polystichopsis chaerophylloides (Poir.) Morton,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Polystichopsis pubescens (L.) C.V.Morton,Polystichopsis pubescens (L.) Morton,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum balansae H.Christ,Polystichum balansae Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum biaristatum (Blume) T.Moore,Polystichum biaristatum (Blume) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum braunii subsp. kamtschaticum (C.Chr. & Hulten) A.Love & D.Love,Polystichum braunii subsp. kamtschaticum (C. Chr. & Hultén) Á. & D. Löve,synonym,TRUE,9,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum castaneum (C.B.Clarke) B.K.Nayar & S.Kaur,Polystichum castaneum (C. B. Clarke) B. K. Nayar & Kaur,synonym,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum frigidicola H.S.Kung & Li Bing Zhang,Polystichum frigidicola H. S. Kung & L. B. Zhang,synonym,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum multifidum (Mett.) T.Moore,Polystichum multifidum (Mett.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum obliquum (D.Don) T.Moore,Polystichum obliquum (D. Don) Moore,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum ohmurae Sa.Kurata,Polystichum ohmurae Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum omeiense,Polystichum omeiense C. Chr.,synonym,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum otomasui Sa.Kurata,Polystichum otomasui Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum pallidum Gardner,Polystichum pallidum (Bory) Tod.,ambiguous synonym,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum prescottianum (Wall. ex Mett.) T.Moore,Polystichum prescottianum (Wall. ex Mett.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum pycnolepis (Kunze ex Klotzsch) T.Moore,Polystichum pycnolepis (Kunze ex Klotzsch) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum rapense E.Brown,Polystichum rapense E. D. Br.,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum shimurae Kurata ex Seriz.,Polystichum shimurae Sa. Kurata ex Seriz.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum sinotsus-simense Ching & Zheng Y.Liu,Polystichum sinotsus-simense Ching & Z. Y. Liu,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum tacticopterum (Kunze) T.Moore,Polystichum tacticopterum (Kunze) Moore,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum tagawanum Sa.Kurata,Polystichum tagawanum Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Polystichum weimingii Li Bing Zhang & H.He,Polystichum weimingii L. B. Zhang & H. He,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Prosaptia pectinata T.Moore,Prosaptia pectinata Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
"Pteridium aquilinum subsp. feei (W.Schaffn. ex Fee) J.A.Thomson, Mickel & Mehltreter","Pteridium aquilinum subsp. feei (W. Schaffn. ex Fée) J. A. Thomson, Mickel & Mehltr.",accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Pteridium aquilinum subsp. japonicum (Nakai) A.Love & D.Love,Pteridium aquilinum subsp. japonicum (Nakai) Á. & D. Löve,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Pteridium aquilinum subsp. latiusculum (Desv.) Hultén,Pteridium aquilinum subsp. latiusculum (Desv.) C. N. Page,synonym,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Pteris argyraea T.Moore,Pteris argyraea Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Pteris buchananii Sim,Pteris buchananii Baker,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Pteris ciliaris D.C.Eaton,Pteris ciliaris Eaton,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Pteris ensiformis Burm.f.,Pteris ensiformis Burm.,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Pteris kawabatae Sa.Kurata,Pteris kawabatae Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Pteris kidoi Sa.Kurata,Pteris kidoi Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
"Pteris langsonensis Li Bing Zhang, Liang Zhang & N.T.Lu","Pteris langsonensis L. B. Zhang, Liang Zhang & N. T. Lu",accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Pteris laurisilvicola Sa.Kurata,Pteris laurisilvicola Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Pteris litoralis Rech.f.,Pteris litoralis Rech.,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Pteris satsumana Sa.Kurata,Pteris satsumana Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Pteris scabra Bory & Willd.,Pteris scabra Bory ex Willd.,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Pteris stenophylla C.Presl,Pteris stenophylla Link,ambiguous synonym,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Pteris xiaoyingiae H.He & Li Bing Zhang,Pteris xiaoyingiae H. He & L. B. Zhang,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Pteris yakuinsularis Sa.Kurata,Pteris yakuinsularis Kurata,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Pyrrosia ensata Ching ex K.H.Shing,Pyrrosia ensata Ching & K. H. Shing,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Pyrrosia lanceolata (L.) Farwell,Pyrrosia lanceolata (L.) Farw.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Pyrrosia piloselloides (L.) M.Price,Pyrrosia piloselloides (L.) M. G. Price,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Salvinia molesta D.S. Mitch.,Salvinia ×  molesta D. S. Mitch.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Salvinia oblongifolia Martius,Salvinia oblongifolia Mart.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Schizaea dichotoma (L.) J.Sm.,Schizaea dichotoma Kunze,ambiguous synonym,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Schizaea poeppigiana J.W.Sturm,Schizaea poeppigiana Sturm,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Schizoloma propinquum (Hook.) T.Moore,Schizoloma propinquum Moore,synonym,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Selliguea triloba (Houtt.) ex M.G.Price,Selliguea triloba (Houtt.) M. G. Price,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Stenochlaena tenuifolia (Desv.) T.Moore,Stenochlaena tenuifolia (Desv.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Sticherus tahitensis (Copel.) St.John,Sticherus tahitensis (Copel.) H. St. John,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Struthiopteris spicant (L.) F.W.Weiss,Struthiopteris spicant (L.) Weiss,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Tectaria marchionica E.D.Brown,Tectaria marchionica E. D. Br.,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Tmesipteris elongata Danguy,Tmesipteris elongata P. A. Dang.,accepted,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Todea barbara (L.) T.Moore,Todea barbara (L.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Trichomanes accedens J.Presl,Trichomanes accedens C. Presl,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Trichomanes bimarginatum,Trichomanes bimarginatum Bedd.,ambiguous synonym,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
Trichomanes madagascariense (Bosch) T.Moore,Trichomanes madagascariense (Bosch) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Trichomanes osmundoides Poir.,Trichomanes osmundoides DC. ex Poir.,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Vandenboschia radicans type I,Vandenboschia radicans (Sw.) Copel.,accepted,TRUE,10,1,0,0,NA,NA,NCBI,author variant,NA
Vandenboschia radicans type I',Vandenboschia radicans (Sw.) Copel.,accepted,TRUE,11,1,0,0,NA,NA,NCBI,author variant,NA
Vandenboschia radicans type II,Vandenboschia radicans (Sw.) Copel.,accepted,TRUE,11,1,0,0,NA,NA,NCBI,author variant,NA
Vandenboschia radicans type IV,Vandenboschia radicans (Sw.) Copel.,accepted,TRUE,11,1,0,0,NA,NA,NCBI,author variant,NA
Vittaria dimorpha Muell.Berol.,Vittaria dimorpha Müll. Berol.,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Woodsia andersonii (Bedd.) H.Christ,Woodsia andersonii (Bedd.) Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Woodwardia fimbriata Sm.,Woodwardia fimbriata J. E. Sm.,accepted,TRUE,6,1,0,0,NA,NA,NCBI,author variant,NA
x Lindsaeosoria flynnii W.H.Wagner,Lindsaeosoria ×  flynnii W. H. Wagner,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA